wealth,bil
1.13E+11,1
9.80E+10,1
6.75E+10,1
5.90E+10,1
5.47E+10,1
5.46E+10,1
5.44E+10,1
5.41E+10,1
5.27E+10,1
5.09E+10,1
4.91E+10,1
4.80E+10,1
3.82E+10,1
3.82E+10,1
3.60E+10,1
2.95E+10,1
2.68E+10,1
2.47E+10,1
2.47E+10,1
2.46E+10,1
2.29E+10,1
2.16E+10,1
1.84E+10,1
1.80E+10,1
1.70E+10,1
1.64E+10,1
1.55E+10,1
1.54E+10,1
1.49E+10,1
1.46E+10,1
1.43E+10,1
1.39E+10,1
1.38E+10,1
1.32E+10,1
1.21E+10,1
1.20E+10,1
1.15E+10,1
1.10E+10,1
1.10E+10,1
1.08E+10,1
1.08E+10,1
1.00E+10,1
9.80E+09,1
9.70E+09,1
9.30E+09,1
9.20E+09,1
8.90E+09,1
8.30E+09,1
8.00E+09,1
8.00E+09,1
7.90E+09,1
7.90E+09,1
7.80E+09,1
7.60E+09,1
7.60E+09,1
7.60E+09,1
7.60E+09,1
7.50E+09,1
7.50E+09,1
7.30E+09,1
7.30E+09,1
7.10E+09,1
7.00E+09,1
6.90E+09,1
6.90E+09,1
6.90E+09,1
6.80E+09,1
6.80E+09,1
6.80E+09,1
6.70E+09,1
6.60E+09,1
6.60E+09,1
6.50E+09,1
6.50E+09,1
6.40E+09,1
6.30E+09,1
6.20E+09,1
6.20E+09,1
6.20E+09,1
6.20E+09,1
6.10E+09,1
6.10E+09,1
6.10E+09,1
5.90E+09,1
5.80E+09,1
5.80E+09,1
5.80E+09,1
5.70E+09,1
5.70E+09,1
5.60E+09,1
5.50E+09,1
5.50E+09,1
5.40E+09,1
5.40E+09,1
5.30E+09,1
5.30E+09,1
5.30E+09,1
5.20E+09,1
5.20E+09,1
5.10E+09,1
5.10E+09,1
5.10E+09,1
5.10E+09,1
5.10E+09,1
5.00E+09,1
5.00E+09,1
5.00E+09,1
5.00E+09,1
5.00E+09,1
5.00E+09,1
4.90E+09,1
4.80E+09,1
4.80E+09,1
4.70E+09,1
4.70E+09,1
4.70E+09,1
4.60E+09,1
4.60E+09,1
4.60E+09,1
4.60E+09,1
4.60E+09,1
4.50E+09,1
4.50E+09,1
4.50E+09,1
4.50E+09,1
4.50E+09,1
4.50E+09,1
4.40E+09,1
4.40E+09,1
4.40E+09,1
4.40E+09,1
4.40E+09,1
4.30E+09,1
4.30E+09,1
4.30E+09,1
4.30E+09,1
4.20E+09,1
4.20E+09,1
4.20E+09,1
4.20E+09,1
4.20E+09,1
4.20E+09,1
4.10E+09,1
4.10E+09,1
4.10E+09,1
4.10E+09,1
4.00E+09,1
4.00E+09,1
4.00E+09,1
4.00E+09,1
4.00E+09,1
4.00E+09,1
4.00E+09,1
4.00E+09,1
4.00E+09,1
4.00E+09,1
3.90E+09,1
3.90E+09,1
3.90E+09,1
3.90E+09,1
3.80E+09,1
3.80E+09,1
3.80E+09,1
3.80E+09,1
3.70E+09,1
3.70E+09,1
3.70E+09,1
3.70E+09,1
3.70E+09,1
3.70E+09,1
3.70E+09,1
3.70E+09,1
3.60E+09,1
3.60E+09,1
3.60E+09,1
3.60E+09,1
3.60E+09,1
3.60E+09,1
3.60E+09,1
3.60E+09,1
3.60E+09,1
3.60E+09,1
3.60E+09,1
3.60E+09,1
3.50E+09,1
3.50E+09,1
3.50E+09,1
3.50E+09,1
3.50E+09,1
3.50E+09,1
3.50E+09,1
3.50E+09,1
3.50E+09,1
3.50E+09,1
3.50E+09,1
3.50E+09,1
3.50E+09,1
3.40E+09,1
3.40E+09,1
3.40E+09,1
3.40E+09,1
3.40E+09,1
3.40E+09,1
3.40E+09,1
3.40E+09,1
3.30E+09,1
3.30E+09,1
3.30E+09,1
3.30E+09,1
3.30E+09,1
3.30E+09,1
3.30E+09,1
3.30E+09,1
3.30E+09,1
3.30E+09,1
3.30E+09,1
3.20E+09,1
3.20E+09,1
3.20E+09,1
3.20E+09,1
3.20E+09,1
3.20E+09,1
3.20E+09,1
3.20E+09,1
3.20E+09,1
3.20E+09,1
3.20E+09,1
3.20E+09,1
3.20E+09,1
3.10E+09,1
3.10E+09,1
3.10E+09,1
3.10E+09,1
3.10E+09,1
3.10E+09,1
3.10E+09,1
3.10E+09,1
3.10E+09,1
3.10E+09,1
3.10E+09,1
3.10E+09,1
3.00E+09,1
3.00E+09,1
3.00E+09,1
3.00E+09,1
3.00E+09,1
3.00E+09,1
3.00E+09,1
3.00E+09,1
3.00E+09,1
3.00E+09,1
3.00E+09,1
3.00E+09,1
3.00E+09,1
3.00E+09,1
2.90E+09,1
2.90E+09,1
2.90E+09,1
2.90E+09,1
2.90E+09,1
2.90E+09,1
2.90E+09,1
2.90E+09,1
2.80E+09,1
2.80E+09,1
2.80E+09,1
2.80E+09,1
2.80E+09,1
2.80E+09,1
2.80E+09,1
2.70E+09,1
2.70E+09,1
2.70E+09,1
2.70E+09,1
2.70E+09,1
2.70E+09,1
2.70E+09,1
2.70E+09,1
2.70E+09,1
2.70E+09,1
2.70E+09,1
2.70E+09,1
2.70E+09,1
2.70E+09,1
2.70E+09,1
2.70E+09,1
2.70E+09,1
2.70E+09,1
2.60E+09,1
2.60E+09,1
2.60E+09,1
2.60E+09,1
2.60E+09,1
2.60E+09,1
2.60E+09,1
2.60E+09,1
2.60E+09,1
2.60E+09,1
