Source: Forbes Billionaires List Data,,,,,,,,,,,,,,,,,,,,,,,
Name and Rank,Surname,World Rank,Wealth (Millions),Age,Wealth Source,Gender,City,State,,,,,,,,,,,,,,,
TOTAL,"$118,813","Total Indexed for Inflation to 2020 = $240,000",,,*Individual billionaire wealth is not adjusted for inflation,,,,,,,,,,,,,,,,,,
John Werner Kluge,Kluge,1,"$5,600",76,Metromedia,M,Charlottesville,VA,,,,,,,,,,,,,,,
Warren Edward Buffett,Buffett,2,"$3,343",60,Stock Market,M,Omaha,NE, ,,,,,,,,,,,,,,
Ronald Owen Perelman,Perelman,3,"$2,870",47,Leveraged Buyouts,M,New York City,NY,,,,,,,,,,,,,,,
Henry Lea Hillman,Hillman,4,"$2,650",71,industrialist,M,Pittsburgh,PA,,,,,,,,,,,,,,,
Barbara Cox Anthony,Anthony,4,"$2,600",67,Inheritance (Cox Enterprises),F,Honolulu,HI,,,,,,,,,,,,,,,
Anne Cox Chambers,Chambers,4,"$2,600",70,Inheritance (Cox Enterprises),F,Atlanta,GA,,,,,,,,,,,,,,,
Samuel Irving Newhouse Jr.,Newhouse,4,"$2,600",62,Publishing,M,New York City,NY,,,,,,,,,,,,,,,
Donald Edward Newhouse,Newhouse,4,"$2,600",61,Publishing,M,New York City,NY,,,,,,,,,,,,,,,
Jay Arthur Pritzker,Pritzker,9,"$2,500",68,Financier,M,Chicago,IL,,,,,,,,,,,,,,,
Robert Alan Pritzker,Pritzker,9,"$2,500",64,Financier,M,Chicago,IL,,,,,,,,,,,,,,,
Sam Moore Walton,Walton,9,"$2,500",72,Wal-Mart Stores,M,Bentonville,AR,,,,,,,,,,,,,,,
S. Robson Walton,Walton,9,"$2,500",46,Inheritance (Wal-Mart Stores),M,Bentonville,AR,,,,,,,,,,,,,,,
John T. Walton,Walton,9,"$2,500",45,Inheritance (Wal-Mart Stores),M,San Diego,CA,,,,,,,,,,,,,,,
Jim C. Walton,Walton,9,"$2,500",42,Inheritance (Wal-Mart Stores),M,Bentonville,AR,,,,,,,,,,,,,,,
Alice L. Walton,Walton,9,"$2,500",41,Inheritance (Wal-Mart Stores),F,Rogers,AR,,,,,,,,,,,,,,,
William Henry Gates III,Gates,9,"$2,500",34,Microsoft Corp.,M,Seattle,WA,,,,,,,,,,,,,,,
Henry Ross Perot,Perot,17,"$2,200",60,Electronic Management Data,M,Dallas,TX,,,,,,,,,,,,,,,
A. Alfred Taubman,Taubman,18,"$2,100",65,Real Estate,M,Bloomfield Hills,MI,,,,,,,,,,,,,,,
Ted Arison,Arison,19,"$2,100",66,Cruise Ships,M,Miami Beach,FL,,,,,,,,,,,,,,,
Sumner Murray Redstone,Redstone,20,"$2,000",67,Movie Theaters,M,Newton Centre,MA,,,,,,,,,,,,,,,
Charles de Ganahl Koch,Koch,21,"$1,900",54,Inheritance,M,Wichita,KS,,,,,,,,,,,,,,,
David Hamilton Koch,Koch,21,"$1,900",50,Inheritance (Oil Services),M,New York City,NY,,,,,,,,,,,,,,,
Edgar Miles Bronfman,Bronfman,21,"$1,900",61,Seagram Co.,M,New York City,NY,,,,,,,,,,,,,,,
Charles F. Feeney,Feeney,21,"$1,900",59,Duty Free Shoppers,M,London,UK,,,,,,,,,,,,,,,
Leslie Herbert Wexner,Wexner,25,"$1,800",53,The Limited Inc.,M,Columbus,OH,,,,,,,,,,,,,,,
Forrest Edward Mars Sr.,Mars,26,"$1,700",80,Candy,M,Las Vegas,NV,,,,,,,,,,,,,,,
Forrest Edward Mars Jr.,Mars,26,"$1,700",59,Candy,M,McLean,VA,,,,,,,,,,,,,,,
John Franklyn Mars,Mars,26,"$1,700",55,Candy,M,Arlington,VA,,,,,,,,,,,,,,,
Jacqueline Mars Vogel,Mars,26,"$1,700",51,Candy,F,Bedminster,NJ,,,,,,,,,,,,,,,
Philip Frederick Anschutz,Anschutz,26,"$1,700",50,Oil,M,Denver,CO,,,,,,,,,,,,,,,
Walter Hubert Annenberg,Annenberg,31,"$1,650",82,Publishing,M,Wynnewood,PA,,,,,,,,,,,,,,,
Harry Brakmann Helmsley,Helmsley,31,"$1,650",81,Real Estate,M,New York City,NY,,,,,,,,,,,,,,,
Lester Crown,Crown,31,"$1,650",65,Inheritance,M,Wilmette,IL,,,,,,,,,,,,,,,
Marvin Harold Davis,Davis,31,"$1,650",65,Oil,M,Beverly Hills,CA,,,,,,,,,,,,,,,
Donald Leroy Bren,Bren,35,"$1,600",58,Real Estate,M,Newport Beach,CA,,,,,,,,,,,,,,,
