"Source: Forbes Billionaires List Data - Forbes 400, Oct. 9, 2000. Data came from the magazine.",,,,,,,,,,,,,,,,,,,,,,,,
Name and Rank,Surname,World Rank,Wealth (Millions),Age,Wealth Source,Industry,Gender,City,State,Wealth (in Billions),,,,,,,,,,,,,,
TOTAL,"$1,112,400 ","Total Indexed for Inflation to 2020 = $1,690,000",,,*Individual billionaire wealth is not adjusted for inflation,,,,,*Individual billionaire wealth is not adjusted for inflation,,,,,,,,,,,,,,
William H. Gates III,Gates,1,"$63,000 ",45,Microsoft,Tech,M,Seattle,WA,$63 ,,,,,,,,,,,,,,
Lawrence Joseph Ellison,Ellison,2,"$58,000 ",56,Oracle,Tech,M,Redwood City,CA,$58 ,,,,,,,,,,,,,,
Paul Gardner Allen,Allen,3,"$36,000 ",47,Microsoft,Tech,M,Seattle,WA,$36 ,,,,,,,,,,,,,,
Warren Edward Buffett,Buffett,4,"$28,000 ",70,Berkshire Hathaway,"Holding Company, Investment",M,Omaha,NE,$28 ,,,,,,,,,,,,,,
Gordon Earle Moore,Moore,5,"$26,000 ",71,Intel Corp,Tech,M,Woodside,CA,$26 ,,,,,,,,,,,,,,
Philip F. Anschutz,Anschutz,6,"$18,000 ",61,Owning several companies,"Oil, Energy, Railroad, Real Estate Media, Sports",M,Denver,CO,$18 ,,,,,,,,,,,,,,
S. Robson Walton,Walton,7,"$17,000 ",56,Walmart,Retail,M,Bentonville,AR,$17 ,,,,,,,,,,,,,,
Alice Walton,Walton,7,"$17,000 ",51,"Walmart, inheritance",Retail,F,Fort Worth,TX,$17 ,,,,,,,,,,,,,,
Helen Walton,Walton,7,"$17,000 ",81,Walmart,Retal,F,Bentonville,AR,$17 ,,,,,,,,,,,,,,
Jim Walton,Walton,7,"$17,000 ",52,Walmart,Retail,M,Bentonville,AR,$17 ,,,,,,,,,,,,,,
John Walton,Walton,7,"$17,000 ",54,Walmart,Retail,M,Durango,CO,$17 ,,,,,,,,,,,,,,
Steven Anthony Ballmer,Ballmer,7,"$17,000 ",44,Microsoft,Tech,M,Seattle,WA,$17 ,,,,,,,,,,,,,,
Michael Dell,Dell,13,"$16,000 ",35,Dell,Tech,M,Round Rock,TX,$16 ,,,,,,,,,,,,,,
Sumner M. Redstone,Redstone,14,"$14,000 ",77,Media magnate,Media,M,Boston,MA,$14 ,,,,,,,,,,,,,,
John Werner Kluge,Kluge,15,"$13,000 ",86,Media mogul,Media,M,Charlottesville,VA,$13 ,,,,,,,,,,,,,,
Charles Ergen,Ergen,16,"$11,000 ",47,"Dish Network, EchoStar",Broadcasting,M,Englewood,CO,$11 ,,,,,,,,,,,,,,
Keith Rupert Murdoch,Murdoch,16,"$11,000 ",69,Media mogul,"Media, Newspapers, Broadcasting",M,New York,NY,$11 ,,,,,,,,,,,,,,
Barbara Cox Anthony,Cox,18,"$10,000 ",77,"Cox Enterprises, Inheritance",Media,F,Honolulu ,HI,$10 ,,,,,,,,,,,,,,
Anne Cox Chambers,Cox,18,"$10,000 ",80,"Cox Enterprises, Inheritance",Media,F,Atlanta,GA,$10 ,,,,,,,,,,,,,,
Henry T. Nicholas,Nicholas,18,"$10,000 ",41,Broadcom,Telecommunications,M,San Jose,CA,$10 ,,,,,,,,,,,,,,
Henry Samueli,Samueli,18,"$10,000 ",46,Broadcom,Telecommunications,M,San Jose,CA,$10 ,,,,,,,,,,,,,,
Abigail Johnson,Johnson,18,"$10,000 ",39,"Johnson family, Fidelity",Investment,F,Boston,MA,$10 ,,,,,,,,,,,,,,
Charles R. Schwab,Schwab,18,"$10,000 ",63,Charles Schwab Corporation,Investment,M,San Francisco,CA,$10 ,,,,,,,,,,,,,,
Sanjiv Sidhu,Sidhu,24,"$9,800 ",43,i2 Technologies software,Tech,M,Scottsdale,AZ,$10 ,,,,,,,,,,,,,,
"Robert E. ""Ted"" Turner",Turner,25,"$9,100 ",62,"CNN, media","Media, Broadcasting",M,Atlanta,GA,$9.1 ,,,,,,,,,,,,,,
William Redington Hewlett,Hewlett,26,"$9,000 ",87,Hewlett Packard,Tech,M,Portola VAlley,CA,$9.0 ,,,,,,,,,,,,,,
Theodore W. Waitt,Waitt,27,"$8,400 ",37,Gateway,Tech,M,Irvine,CA,$8.4 ,,,,,,,,,,,,,,
David R. Huber,Huber,28,"$8,200 ",49,Fiber optics,Tech,M,Columbia ,MD,$8.2 ,,,,,,,,,,,,,,
James Goodnight,Goodnight,29,"$8,000 ",57,SAS Institute,Tech,M,Cary,NC,$8.0 ,,,,,,,,,,,,,,
Kirk Kerkorian,Kerkorian,30,"$7,800 ",83,Tracinda Corporation,"Holding Company, Hospitality, Entertainment",M,Las Vegas,NV,$7.8 ,,,,,,,,,,,,,,
Craig O. McCaw,McCaw,31,"$7,700 ",51,McCaw Cellular,Telecommunications (Cell phones),M,Bellevue,WA,$7.7 ,,,,,,,,,,,,,,
Gururaj E. Deshpande,Deshpande,32,"$7,600 ",50,Sycamore Networks,Tech,M,Boston,MA,$7.6 ,,,,,,,,,,,,,,
Forrest Edward Mars Jr. ,Mars,33,"$7,000 ",69,"Mars, Inc.",Candy,M,McLean,VA,$7.0 ,,,,,,,,,,,,,,
Jacqueline Badger Mars,Mars,33,"$7,000 ",61,"Mars, Inc.",Candy,F,McLean,VA,$7.0 ,,,,,,,,,,,,,,
John Franklyn Mars,Mars,33,"$7,000 ",65,"Mars, Inc.",Candy,M,McLean,VA,$7.0 ,,,,,,,,,,,,,,
Daniel E. Smith,Smith,33,"$7,000 ",51,Fiber optics,Tech,M,Chelmsford,MA,$7.0 ,,,,,,,,,,,,,,
David Filo,Filo,37,"$6,500 ",34,Yahoo,Tech,M,Sunnyvale,CA,$6.5 ,,,,,,,,,,,,,,
Jerry Yang,Yang,38,"$6,400 ",32,Yahoo,Tech,M,Sunnyvale,CA,$6.4 ,,,,,,,,,,,,,,
Thomas M. Siebel,Siebel,38,"$6,400 ",48,Siebel Systems,Tech,M,San Mateo,CA,$6.4 ,,,,,,,,,,,,,,
John Mergridge,Mergridge,40,"$5,600 ",,,,M,,,$5.6 ,,,,,,,,,,,,,,
Robert Alan Pritzker,Pritzker,41,"$5,500 ",74,"Pritzker family, Hyatt hotels","Hospitality, Investment",M,Chicago,IL,$5.5 ,,,,,,,,,,,,,,
Thomas J. Pritzker,Pritzker,41,"$5,500 ",50,"Pritzker family, Hyatt hotels","Hospitality, Investment",M,Chicago,IL,$5.5 ,,,,,,,,,,,,,,
Eli Broad,Broad,43,"$5,200 ",67,"KB Home, SunAmerica (AIG)","Construction, Insurance",M,Los Angeles,CA,$5.2 ,,,,,,,,,,,,,,
Edward Crosby Johnson III,Johnson,44,"$5,000 ",70,"Johnson family, Fidelity",Investment,M,Boston,MA,$5.0 ,,,,,,,,,,,,,,
Donald Edward Newhose,Newhouse,44,"$5,000 ",71,"Conde Nast, etc.","Media, Newspapers",M,New York,NY,$5.0 ,,,,,,,,,,,,,,
Samuel Irving Newhouse Jr.,Newhouse,44,"$5,000 ",73,"Conde Nast, etc.","Media, Newspapers",M,New York,NY,$5.0 ,,,,,,,,,,,,,,
George Soros,Soros,44,"$5,000 ",70,Finance,Finance,M,Bedford,NY,$5.0 ,,,,,,,,,,,,,,
Lee Marshall Bass,Bass,48,"$4,700 ",46,Bass family,"Oil, Real Estate, Media",M,Fort Worth,TX,$4.7 ,,,,,,,,,,,,,,
Jeffrey P. Bezos,Bezos,48,"$4,700 ",36,Amazon,"Tech, Retail",M,Seattle,WA,$4.7 ,,,,,,,,,,,,,,
Jon R. Simplot,Simplot,48,"$4,700 ",91,J. R. Simplot Company,Agribusiness,M,Boise,ID,$4.7 ,,,,,,,,,,,,,,
Alfred Lerner,Lerner,51,"$4,600 ",67,"MBNA Credit Card Company, Cleveland Browns","Banking/finance, Sports",M,Cleveland,OH,$4.6 ,,,,,,,,,,,,,,
Pierre M. Omidyar,Omidyar,51,"$4,600 ",33,eBay,"Tech, Retail",M,San Jose,CA,$4.6 ,,,,,,,,,,,,,,
Carl Celian Icahn,Icahn,53,"$4,500 ",64,Icahn Enterprises,Holding Company,M,New York,NY,$4.5 ,,,,,,,,,,,,,,
Samuel Curtis Johnson,Johnson,53,"$4,500 ",72,"Johnson family, S.C. Johnson & Son","Retail, Manufacturing, Chemicals (cleaning)",M,Racine,WI,$4.5 ,,,,,,,,,,,,,,
Ty H. Warner,Warner,53,"$4,500 ",56,,,M,,,$4.5 ,,,,,,,,,,,,,,
Maurice Raymond Greenberg,Greenberg,56,"$4,400 ",75,AIG,Insurance,M,New York,NY,$4.4 ,,,,,,,,,,,,,,
Sid Richardson Bass,Bass,57,"$4,300 ",58,Bass family,"Oil, Real Estate, Media",M,Fort Worth,TX,$4.3 ,,,,,,,,,,,,,,
Philip H. Knight,Knight,57,"$4,300 ",62,Nike,Retail,M,Beaverton,OR,$4.3 ,,,,,,,,,,,,,,
Edgar M. Bronfman Sr.,Bronfman,59,"$4,100 ",71,Seagram,Beverages (alcohol),M,New York,NY,$4.1 ,,,,,,,,,,,,,,
Jon Meade Huntsman,Huntsman,59,"$4,100 ",63,Huntsman Corporation,Chemicals (Plastics),M,The Woodlands,TX,$4.1 ,,,,,,,,,,,,,,
Marvin H. Davis,Davis,61,"$4,000 ",75,Oil,,M,Beverly Hills,CA,$4.0 ,,,,,,,,,,,,,,
Walter Hubert Annenberg,Annenberg,61,"$4,000 ",,Media,,M,,,$4.0 ,,,,,,,,,,,,,,
Michael Rubens Bloomberg,Bloomberg,61,"$4,000 ",,Bloomberg Media,,M,New York ,NY,$4.0 ,,,,,,,,,,,,,,
Donald L. Bren,Bren,61,"$4,000 ",,,,M,,,$4.0 ,,,,,,,,,,,,,,
John Sall,Sall,65,"$3,900 ",,,,M,,,$3.9 ,,,,,,,,,,,,,,
