Source: Forbes Billionaires List Data,,,,,,,,
Name and Rank,Wealth (Millions),Surname,World Rank,Age,Wealth Source,Industry,Gender,State
TOTAL,"$2,947,500",,,,,,,
Jeff Bezos,"$113,000",Bezos,1,56,Amazon,Technology,M,Washington
Bill Gates,"$98,000",Gates,2,64,Microsoft,Technology,M,Washington
Warren Buffett,"$67,500",Buffett,4,89,Berkshire Hathaway,Finance & Investments,M,Nebraska
Larry Ellison,"$59,000",Ellison,5,75,software,Technology,M,California
Mark Zuckerberg,"$54,700",Zuckerberg,7,35,Facebook,Technology,M,California
Jim Walton,"$54,600",Walton,8,71,Walmart,Fashion & Retail,M,Arkansas
Alice Walton,"$54,400",Walton,9,70,Walmart,Fashion & Retail,F,Texas
Rob Walton,"$54,100",Walton,10,75,Walmart,Fashion & Retail,M,Arkansas
Steve Ballmer,"$52,700",Ballmer,11,64,Microsoft,Technology,M,Washington
Larry Page,"$50,900",Page,13,47,Google,Technology,M,California
Sergey Brin,"$49,100",Brin,14,46,Google,Technology,M,California
Michael Bloomberg,"$48,000",Bloomberg,16,78,Bloomberg LP,Media & Entertainment,M,New York
Charles Koch,"$38,200",Koch,18,84,Koch Industries,Diversified,M,Kansas
Julia Koch,"$38,200",Koch,18,57,Koch Industries,Diversified,F,New York
MacKenzie Bezos,"$36,000",Bezos,22,50,Amazon.com,Technology,F,Washington
Phil Knight,"$29,500",Knight,25,82,Nike,Fashion & Retail,M,Oregon
Sheldon Adelson,"$26,800",Adelson,28,86,casinos,Gambling & Casinos,M,Nevada
Jacqueline Mars,"$24,700",Mars,29,80,"candy, pet food",Food & Beverage,F,Virginia
John Mars,"$24,700",Mars,29,84,"candy, pet food",Food & Beverage,M,Wyoming
Elon Musk,"$24,600",Musk,31,48,"Tesla Motors, SpaceX",Automotive,M,California
Michael Dell,"$22,900",Dell,33,55,Dell computers,Technology,M,Texas
Jim Simons,"$21,600",Simons,36,81,hedge funds,Finance & Investments,M,New York
Lukas Walton,"$18,400",Walton,44,33,Walmart,Fashion & Retail,M,Wyoming
Ray Dalio,"$18,000",Dalio,46,70,hedge funds,Finance & Investments,M,Connecticut
Len Blavatnik,"$17,000",Blavatnik,51,62,diversified,Diversified,M,
Laurene Powell Jobs,"$16,400",Powell Jobs,59,56,"Apple, Disney",Technology,F,California
Donald Bren,"$15,500",Bren,63,87,real estate,Real Estate,M,California
Stephen Schwarzman,"$15,400",Schwarzman,64,73,investments,Finance & Investments,M,New York
Rupert Murdoch,"$14,900",Murdoch,68,89,"newspapers, TV network",Media & Entertainment,M,New York
Leonard Lauder,"$14,600",Lauder,70,83,Estee Lauder,Fashion & Retail,M,New York
Thomas Peterffy,"$14,300",Peterffy,73,75,discount brokerage,Finance & Investments,M,Florida
Steve Cohen,"$13,900",Cohen,77,63,hedge funds,Finance & Investments,M,Connecticut
Carl Icahn,"$13,800",Icahn,78,84,investments,Finance & Investments,M,New York
Eric Schmidt,"$13,200",Schmidt,84,64,Google,Technology,M,California
Ken Griffin,"$12,100",Griffin,100,51,hedge funds,Finance & Investments,M,Illinois
David Tepper,"$12,000",Tepper,101,62,hedge funds,Finance & Investments,M,Florida
"John Menard, Jr.","$11,500",Menard,110,80,home improvement stores,Fashion & Retail,M,Wisconsin
Philip Anschutz,"$11,000",Anschutz,118,80,investments,Finance & Investments,M,Colorado
Pierre Omidyar,"$11,000",Omidyar,118,52,"eBay, PayPal",Technology,M,Hawaii
Abigail Johnson,"$10,800",Johnson,124,58,money management,Finance & Investments,F,Massachusetts
Donald Newhouse,"$10,800",Newhouse,124,90,media,Media & Entertainment,M,New York
Hank & Doug Meijer,"$10,200",Meijer,133,,supermarkets,Fashion & Retail,M,Michigan
Stanley Kroenke,"$10,000",Kroenke,135,72,"sports, real estate",Sports,M,Texas
Gordon Moore,"$9,800",Moore,138,91,Intel,Technology,M,California
Jan Koum,"$9,700",Koum,139,44,WhatsApp,Technology,M,California
Dustin Moskovitz,"$9,300",Moskovitz,146,35,Facebook,Technology,M,California
Sun Hongbin,"$9,200",Sun,147,57,real estate,Real Estate,M,
Stewart and Lynda Resnick,"$9,000",Resnick,153,,"agriculture, water",Food & Beverage,,California
Christy Walton,"$8,900",Walton,155,71,Walmart,Fashion & Retail,F,Wyoming
George Soros,"$8,300",Soros,162,89,hedge funds,Finance & Investments,M,New York
Carl Cook,"$8,000",Cook,169,57,medical devices,Healthcare,M,Indiana
Jerry Jones,"$8,000",Jones,169,77,Dallas Cowboys,Sports,M,Texas
Ann Walton Kroenke,"$7,900",Kroenke,179,71,Walmart,Fashion & Retail,F,Texas
Andrew Beal,"$7,900",Beal,179,67,"banks, real estate",Finance & Investments,M,Texas
Shahid Khan,"$7,800",Khan,183,69,auto parts,Automotive,M,Florida
Blair Parry-Okeden,"$7,600",Parry-Okeden,185,69,"media, automotive",Media & Entertainment,F,
David Geffen,"$7,600",Geffen,185,77,"movies, record labels",Media & Entertainment,M,California
Jim Kennedy,"$7,600",Kennedy,185,72,"media, automotive",Media & Entertainment,M,Georgia
